currency,withdrawal_fee
1ST,4.5
2GIVE,0.01
8BIT,0.002
ABY,0.2
ADA,0.2
ADC,2
ADT,43
ADX,3
AEON,0.1
AGRS,5
AID,1
AMP,5
AMS,1
ANT,1.3
APX,0.1
ARB,0.02
ARDR,2
ARK,0.1
AUR,0.002
BAT,10
BAY,0.2
BCC,0.001
BCPT,1
BCY,5
BITB,0.2
BITCNY,1.5
BITS,2
BITZ,0.02
BKX,1
BLC,0.2
BLITZ,0.02
BLK,0.02
BLOCK,0.02
BLT,1
BNT,0.85
BOB,0.02
BRK,0.02
BRX,0.02
BSD,0.002
BSTY,0.2
BTA,1
BTC,0.0005
BTCD,0.02
BTCP,0.01
BTG,0.001
BTS,5
BURST,2
BYC,0.02
CANN,0.2
CBC,1
CCN,0.02
CFI,27
CLAM,0.2
CLOAK,0.02
CLUB,0.02
CMCT,1
COVAL,200
CPC,0.2
CRB,8
CRW,0.02
CRYPT,0.02
CURE,0.0002
CVC,8
DAR,0.1
DASH,0.002
DCR,0.01
DCT,0.1
DGB,0.2
DGC,0.2
DGD,0.038
DMD,0.002
DMT,1
DNT,29
DOGE,2
DOPE,0.002
DTB,5
DTC,0.2
DYN,0.02
EBST,0.1
EDG,3.5
EFL,0.2
EGC,0.2
EMC,0.02
EMC2,0.2
ENG,1
ENRG,0.2
ERC,0.2
ETC,0.01
ETH,0.006
EXCL,0.2
EXP,0.01
FAIR,0.02
FC2,0.02
FCT,0.01
FLDC,150
FLO,0.2
FRK,0.002
FTC,0.2
FUN,49
GAM,0.3
GAME,0.2
GBG,0.01
GBYTE,0.002
GCR,0.02
GEO,0.1
GLD,0.0002
GNO,0.02
GNT,9
GOLOS,0.01
GP,0.2
GRC,0.2
GRS,0.2
GRT,20
GTO,1
GUP,7
HMQ,16
HYPER,0.02
IGNIS,2
INCNT,0.1
INFX,0.1
IOC,0.2
ION,0.2
IOP,0.2
J,0.02
KMD,0.002
KORE,0.02
LBC,0.02
LGD,4
LMC,0.2
LOOM,1
LRC,1
LSK,0.1
LTC,0.01
LUN,0.15
MAID,2
MANA,36
MAX,0.2
MCO,0.5
MEC,1
MEME,0.02
MER,0.1
METAL,20
MFT,1
MLN,0.035
MND,1
MONA,0.2
MORE,4
MTL,1.35
MUE,0.02
MUSIC,0.01
MYST,2.5
MZC,0.2
NAV,0.2
NEO,0.025
NEOS,0.02
NET,0.2
NEU,0.02
NGC,1
NLC2,0.1
NLG,0.2
NMR,0.15
NTRN,0.02
NXC,13
NXS,0.2
NXT,2
OC,0.2
OCN,1
OK,0.2
OMG,0.35
OMNI,0.1
ORB,0.2
PART,0.1
PAY,2
PDC,5
PINK,0.2
PIVX,0.02
PKB,0.02
POLY,1
POT,0.002
POWR,5
PPC,0.02
PRO,1
PTC,0.002
PTOY,14
PXI,0.2
QRL,2.5
QTUM,0.01
QWARK,0.1
RADS,0.2
RBY,0.02
RCN,16
RDD,2
REP,0.1
RISE,0.1
RLC,3.5
RVR,0.1
SAFEX,100
SALT,0.6
SBD,0.01
SC,0.1
SCRT,1
SEQ,0.2
SHIFT,0.01
SIB,0.2
SLG,0.2
SLING,0.002
SLR,0.2
SLS,0.002
SNGLS,3.5
SNRG,0.002
SNT,20
SOON,0.2
SPHR,0.002
SPR,0.2
SPRTS,1
SRN,1
START,0.02
STEEM,0.01
STEPS,0.2
STORJ,3
STORM,1
STRAT,0.2
STV,0.2
SWIFT,2
SWING,0.1
SWT,1.8
SYNX,0.2
SYS,0.0002
TES,0.2
THC,0.2
TIME,0.2
TIT,0.2
TIX,5
TKN,0.4
TKS,0.1
TRI,0.0002
TRIG,5
TRK,0.02
TROLL,0.001
TRST,7
TRUST,0.02
TRX,0.003
TUBE,0.01
TUSD,1
TX,0.02
UBQ,0.01
UFO,0.2
UKG,5
UNB,0.2
UNIT,2
UNO,0.0002
UP,1
USDT,5
UTC,0.02
VEE,1
VIA,0.2
VIB,13
VOX,0.1
VRC,0.0002
VRM,0.4
VTC,0.02
VTR,0.02
WARP,0.02
WAVES,0.001
WAX,1
WINGS,4
XAUR,2.5
XCO,0.02
XCP,0.2
XDN,0.01
XEL,0.2
XEM,4
XLM,0.01
XMG,0.0002
XMR,0.04
XMY,0.2
XPY,0.002
XQN,0.02
XRP,1
XST,0.02
XVC,0.002
XVG,5
XWC,0.2
XZC,0.02
ZCL,0.002
ZEC,0.005
ZEN,0.002
ZRX,1
